parent_sku,canonical_sku,product_title,is_color_variant,section,part_number,part_id_notion,descriptive_name,qty,qty_raw,part_role,effective_role,category,rack_size,black_batch_stocked,source_page_id,source_page_url,last_edited_at
30110-6,30110-6,"Cap Pendant 6""",False,Assembly Parts,BU8,2ceffa524c5b81eca508c4a9f88f3d69,"Bushings, 1/8IPS",4,4,Standard,Standard,Uncategorized,1,False,2aeffa524c5b80d78a93e5495a03dd62,https://www.notion.so/30110-6-2aeffa524c5b80d78a93e5495a03dd62,2026-03-26T03:08:00.000Z
30110-6,30110-6,"Cap Pendant 6""",False,Assembly Parts,C14,2ceffa524c5b81b7bf17d176b2abadc4,"Slip coupling, 1/4IPS",1,1,Finish+Color,Finish,Uncategorized,1,False,2aeffa524c5b80d78a93e5495a03dd62,https://www.notion.so/30110-6-2aeffa524c5b80d78a93e5495a03dd62,2026-03-26T03:08:00.000Z
30110-6,30110-6,"Cap Pendant 6""",False,Assembly Parts,GC6,2ceffa524c5b81cc9acbccd8e45f3d3c,"Globe cap, 6"" globe",1,1,Finish+Color,Finish,Uncategorized,1,True,2aeffa524c5b80d78a93e5495a03dd62,https://www.notion.so/30110-6-2aeffa524c5b80d78a93e5495a03dd62,2026-03-26T03:08:00.000Z
30110-6,30110-6,"Cap Pendant 6""",False,Assembly Parts,HO1,2ceffa524c5b81e7b5ceeeb692bdc42e,Globe holder,1,1,Standard,Standard,Uncategorized,1,False,2aeffa524c5b80d78a93e5495a03dd62,https://www.notion.so/30110-6-2aeffa524c5b80d78a93e5495a03dd62,2026-03-26T03:08:00.000Z
30110-6,30110-6,"Cap Pendant 6""",False,Assembly Parts,L-A15,2ceffa524c5b811fbe42f365f76af8c3,"Label, Type A15",1,1,Standard,Standard,Uncategorized,1,False,2aeffa524c5b80d78a93e5495a03dd62,https://www.notion.so/30110-6-2aeffa524c5b80d78a93e5495a03dd62,2026-03-26T03:08:00.000Z
30110-6,30110-6,"Cap Pendant 6""",False,Assembly Parts,LW8,2ceffa524c5b8135bf66d955b4fe3519,"Lock washer, 1/8IPS",1,1,Standard,Standard,Uncategorized,1,False,2aeffa524c5b80d78a93e5495a03dd62,https://www.notion.so/30110-6-2aeffa524c5b80d78a93e5495a03dd62,2026-03-26T03:08:00.000Z
30110-6,30110-6,"Cap Pendant 6""",False,Assembly Parts,NH1,2ceffa524c5b81dd97abd5451bbc5b0c,"Hex nut, 1/8IPS, thin",1,1,Standard,Standard,Uncategorized,1,False,2aeffa524c5b80d78a93e5495a03dd62,https://www.notion.so/30110-6-2aeffa524c5b80d78a93e5495a03dd62,2026-03-26T03:08:00.000Z
30110-6,30110-6,"Cap Pendant 6""",False,Assembly Parts,NH2,2ceffa524c5b8156a66cd9618e22e983,"Hex nut, 1/8IPS",1,1,Standard,Standard,Uncategorized,1,False,2aeffa524c5b80d78a93e5495a03dd62,https://www.notion.so/30110-6-2aeffa524c5b80d78a93e5495a03dd62,2026-03-26T03:08:00.000Z
30110-6,30110-6,"Cap Pendant 6""",False,Assembly Parts,NI0-7/8,2ceffa524c5b81ddbe4ef3f92dd24bfb,"Nipple, 7/8"", bushings",1,1,Standard,Standard,Uncategorized,1,False,2aeffa524c5b80d78a93e5495a03dd62,https://www.notion.so/30110-6-2aeffa524c5b80d78a93e5495a03dd62,2026-03-26T03:08:00.000Z
30110-6,30110-6,"Cap Pendant 6""",False,Assembly Parts,PM1.5,2ceffa524c5b81c7b10dd810c6f86cab,"Pipe, male, 1.5"", bushings",1,1,Finish+Color,Finish,Uncategorized,1,False,2aeffa524c5b80d78a93e5495a03dd62,https://www.notion.so/30110-6-2aeffa524c5b80d78a93e5495a03dd62,2026-03-26T03:08:00.000Z
30110-6,30110-6,"Cap Pendant 6""",False,Assembly Parts,RE84X3/4,2ceffa524c5b81348655c96ecd35cad8,"Thread reducer, 3/4""",1,1,Standard,Standard,Uncategorized,1,False,2aeffa524c5b80d78a93e5495a03dd62,https://www.notion.so/30110-6-2aeffa524c5b80d78a93e5495a03dd62,2026-03-26T03:08:00.000Z
30110-6,30110-6,"Cap Pendant 6""",False,Assembly Parts,SO1D,2ceffa524c5b8134956fcc013c89b81e,"Socket, unwired, porcelain",1,1,Standard,Standard,Uncategorized,1,False,2aeffa524c5b80d78a93e5495a03dd62,https://www.notion.so/30110-6-2aeffa524c5b80d78a93e5495a03dd62,2026-03-26T03:08:00.000Z
30110-6,30110-6,"Cap Pendant 6""",False,Assembly Parts,WIB,2ceffa524c5b8185a36ec22a7d61f122,"Wire, 105C, black",3,3'+,Standard,Standard,Uncategorized,1,False,2aeffa524c5b80d78a93e5495a03dd62,https://www.notion.so/30110-6-2aeffa524c5b80d78a93e5495a03dd62,2026-03-26T03:08:00.000Z
30110-6,30110-6,"Cap Pendant 6""",False,Assembly Parts,WIW,2ceffa524c5b81cd82f8d2f423e1e90b,"Wire, 105C, white",3,3'+,Standard,Standard,Uncategorized,1,False,2aeffa524c5b80d78a93e5495a03dd62,https://www.notion.so/30110-6-2aeffa524c5b80d78a93e5495a03dd62,2026-03-26T03:08:00.000Z
30110-6,30110-6,"Cap Pendant 6""",False,Assembly Parts,WNY,2ceffa524c5b814685a1ff27b5c74467,"Wire nuts, yellow",2,2,Standard,Standard,Uncategorized,1,False,2aeffa524c5b80d78a93e5495a03dd62,https://www.notion.so/30110-6-2aeffa524c5b80d78a93e5495a03dd62,2026-03-26T03:08:00.000Z
30110-6,30110-6,"Cap Pendant 6""",False,Canopy Configuration 2,BU8,2ceffa524c5b81eca508c4a9f88f3d69,"Bushings, 1/8IPS",2,2,Standard,Standard,Uncategorized,1,False,2aeffa524c5b80d78a93e5495a03dd62,https://www.notion.so/30110-6-2aeffa524c5b80d78a93e5495a03dd62,2026-03-26T03:08:00.000Z
30110-6,30110-6,"Cap Pendant 6""",False,Canopy Configuration 2,CB1/8,2ceffa524c5b8192bb70de57a41c7112,"Crossbar, straight, 1/8IPS",1,1,Standard,Standard,Uncategorized,1,False,2aeffa524c5b80d78a93e5495a03dd62,https://www.notion.so/30110-6-2aeffa524c5b80d78a93e5495a03dd62,2026-03-26T03:08:00.000Z
30110-6,30110-6,"Cap Pendant 6""",False,Canopy Configuration 2,GC8,2ceffa524c5b81e18585e2e946aff663,"Canopy, 1-hole",1,1,Finish+Color,Finish,Uncategorized,1,True,2aeffa524c5b80d78a93e5495a03dd62,https://www.notion.so/30110-6-2aeffa524c5b80d78a93e5495a03dd62,2026-03-26T03:08:00.000Z
30110-6,30110-6,"Cap Pendant 6""",False,Canopy Configuration 2,NH2,2ceffa524c5b8156a66cd9618e22e983,"Hex nut, 1/8IPS",1,1,Standard,Standard,Uncategorized,1,False,2aeffa524c5b80d78a93e5495a03dd62,https://www.notion.so/30110-6-2aeffa524c5b80d78a93e5495a03dd62,2026-03-26T03:08:00.000Z
