parent_sku,section,part_family,qty,part_role
10401-20,🔩 Parts List,BU1,1,Finish
10401-20,🔩 Parts List,BU1L,1,Finish
10401-20,🔩 Parts List,BU8,12,Standard
10401-20,🔩 Parts List,BU8,6,Standard
10401-20,🔩 Parts List,CB1/8,1,Standard
10401-20,🔩 Parts List,GC8,1,Finish
10401-20,🔩 Parts List,HK5/64,1,Standard
10401-20,🔩 Parts List,L-A,4,Standard
10401-20,🔩 Parts List,LC1,4,Finish
10401-20,🔩 Parts List,LW8,5,Standard
10401-20,🔩 Parts List,NH1,5,Standard
10401-20,🔩 Parts List,NI0-7/8,1,Standard
10401-20,🔩 Parts List,NI0-7/8,3,Standard
10401-20,🔩 Parts List,NI1,1,Standard
10401-20,🔩 Parts List,NK1,4,Finish
10401-20,🔩 Parts List,PF12,1,Finish
10401-20,🔩 Parts List,PF4,1,Finish
10401-20,🔩 Parts List,PF6,2,Finish
10401-20,🔩 Parts List,PM3,4,Finish
10401-20,🔩 Parts List,SCG,1,Standard
10401-20,🔩 Parts List,SCT1,2,Standard
10401-20,🔩 Parts List,SO1D-10,4,Standard
10401-20,🔩 Parts List,SR1,1,Finish
10401-20,🔩 Parts List,SS3/16,1,Finish
10401-20,🔩 Parts List,SU6X1,192,Finish
10401-20,🔩 Parts List,SU8.5X1,124,Finish
10401-20,🔩 Parts List,WIB,6,Standard
10401-20,🔩 Parts List,WIW,6,Standard
10401-20,🔩 Parts List,WNY,2,Standard
10401-20,🔩 Parts List,WNY,2,Standard
10401-27,🔩 Parts List,BU1,1,Finish
10401-27,🔩 Parts List,BU1L,1,Finish
10401-27,🔩 Parts List,BU8,12,Standard
10401-27,🔩 Parts List,BU8,6,Standard
10401-27,🔩 Parts List,CB1/8,1,Standard
10401-27,🔩 Parts List,GC8,1,Finish
10401-27,🔩 Parts List,HK5/64,1,Standard
10401-27,🔩 Parts List,L-A,4,Standard
10401-27,🔩 Parts List,LC1,4,Finish
10401-27,🔩 Parts List,LW8,5,Standard
10401-27,🔩 Parts List,NH1,5,Standard
10401-27,🔩 Parts List,NI0-7/8,1,Standard
10401-27,🔩 Parts List,NI0-7/8,3,Standard
10401-27,🔩 Parts List,NI1,1,Standard
10401-27,🔩 Parts List,NK1,4,Finish
10401-27,🔩 Parts List,PF12,1,Finish
10401-27,🔩 Parts List,PF4,1,Finish
10401-27,🔩 Parts List,PF6,2,Finish
10401-27,🔩 Parts List,PM3,4,Finish
10401-27,🔩 Parts List,SCG,1,Standard
10401-27,🔩 Parts List,SCT1,2,Standard
10401-27,🔩 Parts List,SO1D-10,4,Standard
10401-27,🔩 Parts List,SR1,1,Finish
10401-27,🔩 Parts List,SS3/16,1,Finish
10401-27,🔩 Parts List,SU12X1,124,Finish
10401-27,🔩 Parts List,SU6X1,192,Finish
10401-27,🔩 Parts List,WIB,6,Standard
10401-27,🔩 Parts List,WIW,6,Standard
10401-27,🔩 Parts List,WNY,2,Standard
10401-27,🔩 Parts List,WNY,2,Standard
10401F-20,🔩 Parts List,BU1,1,Finish
10401F-20,🔩 Parts List,BU1L,1,Finish
10401F-20,🔩 Parts List,BU8,12,Standard
10401F-20,🔩 Parts List,BU8,2,Standard
10401F-20,🔩 Parts List,CB1/8,1,Standard
10401F-20,🔩 Parts List,GC8,1,Finish
10401F-20,🔩 Parts List,HK5/64,1,Standard
10401F-20,🔩 Parts List,L-A,4,Standard
10401F-20,🔩 Parts List,LC1,4,Finish
10401F-20,🔩 Parts List,LW8,5,Standard
10401F-20,🔩 Parts List,NH1,5,Standard
10401F-20,🔩 Parts List,NI0-7/8,1,Standard
10401F-20,🔩 Parts List,NI0-7/8,1,Standard
10401F-20,🔩 Parts List,NI1,1,Standard
10401F-20,🔩 Parts List,NK1,4,Finish
10401F-20,🔩 Parts List,PF4,1,Finish
10401F-20,🔩 Parts List,PF4,1,Finish
10401F-20,🔩 Parts List,PM3,4,Finish
10401F-20,🔩 Parts List,SCG,1,Standard
10401F-20,🔩 Parts List,SCT1,2,Standard
10401F-20,🔩 Parts List,SO1D-10,4,Standard
10401F-20,🔩 Parts List,SR1,1,Finish
10401F-20,🔩 Parts List,SS3/16,1,Finish
10401F-20,🔩 Parts List,SU6X1,192,Finish
10401F-20,🔩 Parts List,SU8.5X1,124,Finish
10401F-20,🔩 Parts List,WIB,24,Standard
10401F-20,🔩 Parts List,WIW,24,Standard
10401F-20,🔩 Parts List,WNY,2,Standard
10401F-20,🔩 Parts List,WNY,2,Standard
10401F-27,🔩 Parts List,BU1,1,Finish
10401F-27,🔩 Parts List,BU1L,1,Finish
10401F-27,🔩 Parts List,BU8,12,Standard
10401F-27,🔩 Parts List,BU8,2,Standard
10401F-27,🔩 Parts List,CB1/8,1,Standard
10401F-27,🔩 Parts List,GC8,1,Finish
10401F-27,🔩 Parts List,HK5/64,1,Standard
10401F-27,🔩 Parts List,L-A,4,Standard
10401F-27,🔩 Parts List,LC1,4,Finish
10401F-27,🔩 Parts List,LW8,5,Standard
10401F-27,🔩 Parts List,NH1,5,Standard
10401F-27,🔩 Parts List,NI0-7/8,1,Standard
10401F-27,🔩 Parts List,NI0-7/8,1,Standard
10401F-27,🔩 Parts List,NI1,1,Standard
10401F-27,🔩 Parts List,NK1,4,Finish
10401F-27,🔩 Parts List,PF4,1,Finish
10401F-27,🔩 Parts List,PF4,1,Finish
10401F-27,🔩 Parts List,PM3,4,Finish
10401F-27,🔩 Parts List,SCG,1,Standard
10401F-27,🔩 Parts List,SCT1,2,Standard
10401F-27,🔩 Parts List,SO1D-10,4,Standard
10401F-27,🔩 Parts List,SR1,1,Finish
10401F-27,🔩 Parts List,SS3/16,1,Finish
10401F-27,🔩 Parts List,SU12X1,124,Finish
10401F-27,🔩 Parts List,SU6X1,192,Finish
10401F-27,🔩 Parts List,WIB,24,Standard
10401F-27,🔩 Parts List,WIW,24,Standard
10401F-27,🔩 Parts List,WNY,2,Standard
10401F-27,🔩 Parts List,WNY,2,Standard
10403-20,🔩 Parts List,BE1,62,Color
10403-20,🔩 Parts List,BU1,1,Finish
10403-20,🔩 Parts List,BU1L,1,Finish
10403-20,🔩 Parts List,BU8,12,Standard
10403-20,🔩 Parts List,BU8,6,Standard
10403-20,🔩 Parts List,CB1/8,1,Standard
10403-20,🔩 Parts List,GC8,1,Finish
10403-20,🔩 Parts List,HK5/64,1,Standard
10403-20,🔩 Parts List,L-A,4,Standard
10403-20,🔩 Parts List,LC1,4,Finish
10403-20,🔩 Parts List,LW8,5,Standard
10403-20,🔩 Parts List,NH1,5,Standard
10403-20,🔩 Parts List,NI0-7/8,1,Standard
10403-20,🔩 Parts List,NI0-7/8,3,Standard
10403-20,🔩 Parts List,NI1,1,Standard
10403-20,🔩 Parts List,NK1,4,Finish
10403-20,🔩 Parts List,PF12,1,Finish
10403-20,🔩 Parts List,PF4,1,Finish
10403-20,🔩 Parts List,PF6,2,Finish
10403-20,🔩 Parts List,PM3,4,Finish
10403-20,🔩 Parts List,SCG,1,Standard
10403-20,🔩 Parts List,SCT1,2,Standard
10403-20,🔩 Parts List,SO1D-10,4,Standard
10403-20,🔩 Parts List,SR1,1,Finish
10403-20,🔩 Parts List,SS3/16,1,Finish
10403-20,🔩 Parts List,SU6X1,192,Finish
10403-20,🔩 Parts List,SU8.5X1,62,Finish
10403-20,🔩 Parts List,SU8.5X2,62,Finish
10403-20,🔩 Parts List,WIB,6,Standard
10403-20,🔩 Parts List,WIW,6,Standard
10403-20,🔩 Parts List,WNY,2,Standard
10403-20,🔩 Parts List,WNY,2,Standard
10403-27,🔩 Parts List,BE1,124,Color
10403-27,🔩 Parts List,BU1,1,Finish
10403-27,🔩 Parts List,BU1L,1,Finish
10403-27,🔩 Parts List,BU8,12,Standard
10403-27,🔩 Parts List,BU8,6,Standard
